id,sentiment
21681,positive
10829,positive
37269,positive
13397,positive
41784,positive
33196,positive
43302,positive
38268,positive
8107,positive
29204,positive
40490,positive
38820,positive
2884,positive
47759,positive
30850,positive
40121,positive
6552,positive
14492,positive
19848,positive
27884,positive
49055,positive
11742,positive
36967,positive
49472,positive
45723,positive
2588,positive
11385,positive
42355,positive
13695,positive
23168,positive
17993,positive
27222,positive
37388,positive
46759,positive
6541,positive
31650,positive
31769,positive
22437,positive
10764,positive
10496,positive
15356,positive
28615,positive
24269,positive
14731,positive
46686,positive
46383,positive
42072,positive
78,positive
31338,positive
20390,positive
687,positive
21018,positive
3882,positive
2204,positive
15026,positive
12265,positive
13962,positive
49136,positive
25001,positive
28193,positive
48259,positive
9769,positive
29844,positive
20799,positive
28124,positive
13670,positive
4106,positive
19800,positive
32730,positive
19022,positive
41352,positive
39234,positive
20622,positive
22230,positive
24900,positive
4293,positive
25565,positive
45533,positive
24345,positive
6213,positive
4534,positive
26565,positive
3756,positive
25746,positive
23072,positive
35220,positive
43890,positive
43808,positive
17425,positive
35589,positive
2288,positive
34081,positive
8571,positive
30421,positive
3116,positive
45071,positive
8446,positive
19797,positive
40106,positive
33142,positive
4091,positive
47181,positive
27869,positive
22451,positive
25086,positive
19289,positive
16797,positive
19683,positive
15702,positive
32291,positive
34699,positive
17303,positive
19335,positive
29887,positive
22833,positive
16671,positive
14607,positive
12149,positive
40150,positive
43339,positive
19376,positive
27605,positive
12922,positive
24153,positive
16186,positive
35307,positive
46127,positive
18487,positive
35691,positive
225,positive
45602,positive
3673,positive
5440,positive
30483,positive
48981,positive
24569,positive
2459,positive
38815,positive
19082,positive
20145,positive
602,positive
15266,positive
23902,positive
47705,positive
5782,positive
28595,positive
18349,positive
21656,positive
2188,positive
2161,positive
26889,positive
49473,positive
23280,positive
44822,positive
9098,positive
10389,positive
27243,positive
37131,positive
21896,positive
26688,positive
29329,positive
34301,positive
7821,positive
19845,positive
46070,positive
31320,positive
37475,positive
5,positive
22333,positive
9639,positive
33217,positive
32964,positive
33280,positive
35076,positive
21719,positive
14209,positive
38876,positive
40,positive
38800,positive
35380,positive
24586,positive
46182,positive
32546,positive
44186,positive
1345,positive
42237,positive
32819,positive
19633,positive
28834,positive
7259,positive
16422,positive
19326,positive
26348,positive
49002,positive
13278,positive
5160,positive
41567,positive
27927,positive
10822,positive
3869,positive
34500,positive
19313,positive
35981,positive
9292,positive
110,positive
8927,positive
509,positive
43497,positive
49189,positive
5752,positive
1268,positive
12206,positive
38601,positive
25792,positive
23450,positive
6235,positive
13296,positive
13069,positive
45666,positive
21338,positive
29397,positive
45318,positive
24171,positive
36549,positive
17808,positive
10464,positive
5813,positive
33352,positive
17790,positive
49701,positive
6851,positive
33057,positive
14912,positive
47178,positive
49743,positive
15602,positive
9917,positive
25856,positive
21557,positive
38237,positive
5321,positive
39518,positive
5093,positive
12745,positive
6248,positive
15614,positive
33657,positive
35649,positive
49259,positive
23228,positive
7580,positive
13595,positive
32992,positive
25194,positive
47525,positive
24775,positive
8366,positive
30150,positive
32029,positive
18168,positive
16433,positive
21128,positive
41423,positive
45119,positive
17184,positive
36089,positive
5868,positive
5108,positive
23230,positive
18686,positive
25372,positive
46065,positive
40589,positive
35232,positive
27284,positive
38086,positive
39860,positive
44295,positive
33318,positive
47293,positive
19826,positive
35392,positive
7085,positive
12368,positive
42372,positive
48436,positive
5704,positive
24104,positive
48053,positive
4193,positive
19312,positive
46320,positive
44974,positive
16932,positive
48852,positive
32830,positive
41854,positive
10635,positive
16199,positive
2425,positive
194,positive
38859,positive
14124,positive
48965,positive
46978,positive
24829,positive
48950,positive
39236,positive
8930,positive
39847,positive
48779,positive
2361,positive
32864,positive
15413,positive
1186,positive
32752,positive
5698,positive
33365,positive
22249,positive
907,positive
18568,positive
24207,positive
888,positive
16285,positive
18004,positive
40597,positive
27672,positive
38570,positive
35025,positive
16576,positive
35667,positive
41770,positive
42647,positive
41674,positive
13081,positive
29167,positive
37048,positive
14395,positive
39365,positive
37,positive
11542,positive
38720,positive
25124,positive
8840,positive
28217,positive
35490,positive
9496,positive
9494,positive
21741,positive
12604,positive
26355,positive
44393,positive
19521,positive
3709,positive
22535,positive
28962,positive
19621,positive
11872,positive
9746,positive
30609,positive
30382,positive
21624,positive
47423,positive
255,positive
6596,positive
48314,positive
36065,positive
41252,positive
47309,positive
25936,positive
48846,positive
45476,positive
23864,positive
41989,positive
14299,positive
48351,positive
36167,positive
8701,positive
37756,positive
45383,positive
4865,positive
48392,positive
26438,positive
21392,positive
21217,positive
31244,positive
26718,positive
18664,positive
16672,positive
14007,positive
20193,positive
10208,positive
1422,positive
11011,positive
30185,positive
27216,positive
13078,positive
42461,positive
16180,positive
46626,positive
14774,positive
47087,positive
1307,positive
43645,positive
38128,positive
45779,positive
44777,positive
40500,positive
12131,positive
8026,positive
7080,positive
29592,positive
20052,positive
46242,positive
21314,positive
32739,positive
40382,positive
36841,positive
1032,positive
10734,positive
4651,positive
1576,positive
4906,positive
15697,positive
10191,positive
20596,positive
47039,positive
1860,positive
27911,positive
21856,positive
47151,positive
36283,positive
34903,positive
43861,positive
28632,positive
42304,positive
12896,positive
26780,positive
7134,positive
36286,positive
46398,positive
7461,positive
9256,positive
49601,positive
35698,positive
25535,positive
36106,positive
21328,positive
7230,positive
35215,positive
3570,positive
17378,positive
19493,positive
1871,positive
42666,positive
38696,positive
43783,positive
975,positive
27213,positive
17254,positive
44224,positive
13002,positive
23646,positive
6795,positive
46270,positive
34111,positive
23386,positive
46508,positive
10404,positive
5013,positive
34347,positive
47111,positive
22683,positive
18720,positive
28056,positive
19644,positive
17465,positive
46485,positive
21523,positive
43483,positive
35473,positive
31066,positive
49972,positive
5911,positive
2649,positive
17597,positive
44613,positive
19610,positive
43412,positive
40177,positive
47998,positive
10630,positive
25845,positive
45997,positive
32697,positive
44270,positive
1910,positive
12151,positive
8253,positive
35346,positive
15951,positive
6669,positive
20151,positive
24471,positive
27748,positive
19491,positive
22370,positive
6951,positive
5996,positive
25521,positive
19227,positive
11346,positive
29746,positive
20576,positive
22584,positive
27966,positive
40867,positive
12993,positive
39732,positive
8921,positive
11526,positive
24655,positive
10540,positive
32934,positive
23962,positive
15234,positive
47637,positive
19971,positive
35913,positive
46958,positive
34934,positive
10861,positive
42436,positive
11546,positive
36163,positive
28042,positive
3142,positive
7083,positive
49774,positive
42718,positive
12816,positive
466,positive
47929,positive
45110,positive
7021,positive
26292,positive
6252,positive
18781,positive
39299,positive
39614,positive
45490,positive
22710,positive
4699,positive
35462,positive
16178,positive
16176,positive
34632,positive
19284,positive
8463,positive
46961,positive
39051,positive
41372,positive
5379,positive
5064,positive
48628,positive
11286,positive
23496,positive
46816,positive
41972,positive
7135,positive
20714,positive
47709,positive
46272,positive
49443,positive
24882,positive
42729,positive
8562,positive
16222,positive
2764,positive
40047,positive
738,positive
4584,positive
22766,positive
1138,positive
36632,positive
43748,positive
29119,positive
6622,positive
7603,positive
3094,positive
7131,positive
33806,positive
20508,positive
2914,positive
19762,positive
31053,positive
28785,positive
20319,positive
23457,positive
23858,positive
2918,positive
36207,positive
49736,positive
38449,positive
44660,positive
26311,positive
45683,positive
31586,positive
20023,positive
18998,positive
30878,positive
8953,positive
21443,positive
8062,positive
27554,positive
14265,positive
26313,positive
29741,positive
16753,positive
17672,positive
860,positive
33297,positive
41818,positive
17185,positive
34571,positive
26017,positive
21669,positive
20140,positive
1136,positive
6705,positive
36715,positive
24589,positive
39608,positive
38705,positive
43301,positive
4909,positive
43074,positive
35053,positive
25429,positive
42396,positive
36994,positive
24904,positive
15810,positive
25469,positive
18862,positive
6149,positive
6982,positive
28708,positive
43082,positive
986,positive
400,positive
30310,positive
31026,positive
9857,positive
16402,positive
43395,positive
18588,positive
7391,positive
14537,positive
19650,positive
49483,positive
39377,positive
14858,positive
5598,positive
8723,positive
48193,positive
49024,positive
8573,positive
34194,positive
11888,positive
24522,positive
24174,positive
3134,positive
27828,positive
37763,positive
37203,positive
31807,positive
11881,positive
6684,positive
101,positive
17078,positive
48227,positive
9726,positive
48952,positive
29504,positive
22537,positive
39451,positive
45505,positive
12354,positive
42167,positive
15075,positive
36697,positive
45652,positive
10052,positive
40384,positive
7979,positive
42613,positive
42630,positive
6051,positive
6728,positive
34004,positive
37845,positive
39210,positive
16268,positive
40621,positive
27996,positive
1798,positive
16205,positive
14579,positive
996,positive
45216,positive
